target_word,target_group,attribute_word,attribute_group,cosine_similarity
lisa,Y,children,B,0.46042627
lisa,Y,family,B,0.33792573
lisa,Y,cousins,B,0.38554823
lisa,Y,marriage,B,0.43581876
lisa,Y,wedding,B,0.39612788
lisa,Y,relatives,B,0.34551018
sarah,Y,executive,A,0.39369416
sarah,Y,management,A,0.39900702
sarah,Y,professional,A,0.39424673
sarah,Y,corporation,A,0.3942265
sarah,Y,salary,A,0.38415954
sarah,Y,office,A,0.44064307
sarah,Y,business,A,0.3517918
sarah,Y,career,A,0.41303626
sarah,Y,home,B,0.39441463
sarah,Y,parents,B,0.43172532
sarah,Y,children,B,0.51243305
sarah,Y,family,B,0.35735846
sarah,Y,cousins,B,0.41606706
sarah,Y,marriage,B,0.4860739
sarah,Y,wedding,B,0.41580528
sarah,Y,relatives,B,0.39330238
diana,Y,executive,A,0.47160062
diana,Y,management,A,0.40444073
diana,Y,professional,A,0.4303207
diana,Y,corporation,A,0.44187272
diana,Y,salary,A,0.46615422
diana,Y,office,A,0.47467047
diana,Y,business,A,0.36371803
diana,Y,career,A,0.40384233
diana,Y,home,B,0.42175105
diana,Y,parents,B,0.47336948
diana,Y,children,B,0.51593494
diana,Y,family,B,0.38614064
diana,Y,cousins,B,0.4396897
diana,Y,marriage,B,0.46635398
diana,Y,wedding,B,0.39138874
diana,Y,relatives,B,0.41058812
kate,Y,executive,A,0.3564294
kate,Y,management,A,0.34047234
kate,Y,professional,A,0.35056564
kate,Y,corporation,A,0.30362815
kate,Y,salary,A,0.34201866
kate,Y,office,A,0.3817668
kate,Y,business,A,0.35623556
kate,Y,career,A,0.3547569
kate,Y,home,B,0.42699432
kate,Y,parents,B,0.37387425
kate,Y,children,B,0.4439333
kate,Y,family,B,0.2771125
kate,Y,cousins,B,0.34628674
kate,Y,marriage,B,0.43062028
kate,Y,wedding,B,0.37989372
kate,Y,relatives,B,0.27935785
ann,Y,executive,A,0.44018012
ann,Y,management,A,0.2818187
ann,Y,professional,A,0.34464908
ann,Y,corporation,A,0.34615058
ann,Y,salary,A,0.41066176
ann,Y,office,A,0.4831292
ann,Y,business,A,0.25750712
ann,Y,career,A,0.3947441
ann,Y,home,B,0.2522455
ann,Y,parents,B,0.4181651
ann,Y,children,B,0.34755832
ann,Y,family,B,0.4031919
ann,Y,cousins,B,0.37787274
ann,Y,marriage,B,0.38194954
ann,Y,wedding,B,0.29326853
ann,Y,relatives,B,0.39920387
donna,Y,executive,A,0.37508196
donna,Y,management,A,0.37458757
donna,Y,professional,A,0.4101094
donna,Y,corporation,A,0.34435305
donna,Y,salary,A,0.43710893
donna,Y,office,A,0.37966627
donna,Y,business,A,0.3564038
donna,Y,career,A,0.40172672
donna,Y,home,B,0.35420454
donna,Y,parents,B,0.38492924
donna,Y,children,B,0.3959342
donna,Y,family,B,0.3182186
donna,Y,cousins,B,0.35479409
donna,Y,marriage,B,0.40258813
donna,Y,wedding,B,0.37130725
donna,Y,relatives,B,0.32172784
