word,group,association_score
math,X,-0.055439495
algebra,X,-0.06212771
geometry,X,-0.008096926
calculus,X,-0.002487272
equations,X,0.025491517
computation,X,-0.01806786
numbers,X,-0.005946964
addition,X,0.0027617216
poetry,Y,-0.063621
art,Y,-0.049226068
shakespeare,Y,-0.04186463
dance,Y,-0.092111185
literature,Y,-0.059061028
novel,Y,-0.05841084
symphony,Y,-0.018243898
drama,Y,0.0023451522
