word,group,association_score
john,X,-0.017829947
paul,X,-0.028514277
mike,X,0.018519033
kevin,X,-0.06364234
steve,X,-0.010512702
greg,X,0.01903763
jeff,X,-0.031749323
bill,X,-0.0058221295
amy,Y,-0.09649746
joan,Y,-0.10848027
lisa,Y,-0.088560686
sarah,Y,-0.070834756
diana,Y,-0.10807365
kate,Y,-0.1529311
ann,Y,-0.040183835
donna,Y,-0.0805592
