target_word,target_group,attribute_word,attribute_group,cosine_similarity
lisa,Y,career,A,0.031599455
lisa,Y,home,B,0.06330912
lisa,Y,parents,B,0.10904981
lisa,Y,children,B,0.11556017
lisa,Y,family,B,0.053695332
lisa,Y,cousins,B,0.16182771
lisa,Y,marriage,B,0.23000388
lisa,Y,wedding,B,0.14926074
lisa,Y,relatives,B,0.023879081
sarah,Y,executive,A,-0.06414144
sarah,Y,management,A,0.010658765
sarah,Y,professional,A,0.12234326
sarah,Y,corporation,A,0.062760614
sarah,Y,salary,A,-0.019726759
sarah,Y,office,A,0.047731657
sarah,Y,business,A,0.04161082
sarah,Y,career,A,0.0892293
sarah,Y,home,B,0.01790191
sarah,Y,parents,B,0.09016241
sarah,Y,children,B,0.07090303
sarah,Y,family,B,0.09460559
sarah,Y,cousins,B,0.16495246
sarah,Y,marriage,B,0.15046108
sarah,Y,wedding,B,0.19825432
sarah,Y,relatives,B,0.06990342
diana,Y,executive,A,-0.055800825
diana,Y,management,A,0.0023635977
diana,Y,professional,A,0.056608085
diana,Y,corporation,A,0.07086581
diana,Y,salary,A,-0.06136359
diana,Y,office,A,0.0045447024
diana,Y,business,A,-0.058520693
diana,Y,career,A,0.06063993
diana,Y,home,B,0.0070959763
diana,Y,parents,B,0.050350133
diana,Y,children,B,0.06997228
diana,Y,family,B,0.09774825
diana,Y,cousins,B,0.1524002
diana,Y,marriage,B,0.17436825
diana,Y,wedding,B,0.21907516
diana,Y,relatives,B,0.11291595
kate,Y,executive,A,-0.08792212
kate,Y,management,A,-0.022839611
kate,Y,professional,A,0.09951304
kate,Y,corporation,A,0.009729819
kate,Y,salary,A,0.024797857
kate,Y,office,A,-0.00025053948
kate,Y,business,A,0.008354629
kate,Y,career,A,0.043361723
kate,Y,home,B,0.044624273
kate,Y,parents,B,0.15613317
kate,Y,children,B,0.17816496
kate,Y,family,B,0.107837535
kate,Y,cousins,B,0.16839026
kate,Y,marriage,B,0.25250092
kate,Y,wedding,B,0.30797786
kate,Y,relatives,B,0.08256468
ann,Y,executive,A,0.05307313
ann,Y,management,A,0.03654963
ann,Y,professional,A,0.018185413
ann,Y,corporation,A,0.04804651
ann,Y,salary,A,0.013173878
ann,Y,office,A,0.006943151
ann,Y,business,A,0.02661268
ann,Y,career,A,0.02956275
ann,Y,home,B,0.07845325
ann,Y,parents,B,0.07773588
ann,Y,children,B,0.00044899664
ann,Y,family,B,0.04227133
ann,Y,cousins,B,0.1343191
ann,Y,marriage,B,0.05697704
ann,Y,wedding,B,0.10975105
ann,Y,relatives,B,0.053661197
donna,Y,executive,A,-0.031486243
donna,Y,management,A,0.032569803
donna,Y,professional,A,0.0862435
donna,Y,corporation,A,-0.00075800635
donna,Y,salary,A,-0.00012531977
donna,Y,office,A,0.025409453
donna,Y,business,A,0.04081432
donna,Y,career,A,0.07154623
donna,Y,home,B,0.046729274
donna,Y,parents,B,0.117434405
donna,Y,children,B,0.094422184
donna,Y,family,B,0.07188059
donna,Y,cousins,B,0.17482924
donna,Y,marriage,B,0.15654172
donna,Y,wedding,B,0.15319517
donna,Y,relatives,B,0.053654745
